Country,Job Title,Gender,Quantity,Percentage
France,computer or data processing systems consultant,male,13,0.25%
France,director of data operations,male,11,0.22%
France,data modeling specialist,male,11,0.22%
France,database coordinator,male,11,0.22%
France,data management associate,male,10,0.2%
France,automatic data processing customer liaison adp customer liaison,male,10,0.2%
France,database modeler,male,10,0.2%
France,database software technician,male,9,0.18%
France,automatic data processing systems security specialist adp systems security,male,9,0.18%
France,database consultant,female,9,0.18%
France,geographic information systems data administrator gis data administrator,male,9,0.18%
France,data miner,male,8,0.16%
France,data officer,male,8,0.16%
France,data architect,male,8,0.16%
France,data coordinator,male,7,0.14%
France,data base design analyst,male,7,0.14%
France,oracle database administrator oracle dba,male,7,0.14%
France,data communications analyst,male,7,0.14%
France,automatic data processing planner,male,7,0.14%
France,database engineer,male,7,0.14%
France,data processing manager,male,7,0.14%
France,data processing systems analyst,male,7,0.14%
France,database manager,female,7,0.14%
France,database development and administration project manager,male,7,0.14%
France,data security administrator,male,7,0.14%
France,database security administrator,male,7,0.14%
France,data officer,female,7,0.14%
France,database tester,male,7,0.14%
France,head of information systems and data processing,male,6,0.12%
France,database architect,female,6,0.12%
France,database specialist,male,6,0.12%
France,database designer,male,6,0.12%
France,data communications software consultant,male,6,0.12%
France,database marketing analyst,female,6,0.12%
France,database marketing analyst,male,6,0.12%
France,head of information systems and data processing,female,6,0.12%
France,automatic data processing planner,female,6,0.12%
France,database administration associate,male,6,0.12%
France,database consultant,male,5,0.1%
France,oracle database administrator oracle dba,female,5,0.1%
France,internet database specialist,male,5,0.1%
France,internet database specialist,female,5,0.1%
France,geographic information systems data specialist gis data specialist,male,5,0.1%
France,geographic information systems data manager gis data manager,male,5,0.1%
France,electronic data interchange system developer edi system developer,male,5,0.1%
France,director of data operations,female,5,0.1%
France,electronic data processing auditor edp auditor,male,5,0.1%
France,database architect,male,5,0.1%
France,data coordinator,female,5,0.1%
France,automatic data processing planner adp planner,male,5,0.1%
France,data architect,female,5,0.1%
France,data processing systems project planner,male,5,0.1%
France,data warehouse architect,male,5,0.1%
France,data security administrator,female,5,0.1%
France,data processing consultant,male,5,0.1%
France,automatic data processing planner adp planner,female,4,0.08%
France,database administration associate,female,4,0.08%
France,data scientist,female,4,0.08%
France,database design analyst,male,4,0.08%
France,geographic information systems data specialist gis data specialist,female,4,0.08%
France,database software technician,female,4,0.08%
France,database security expert,male,4,0.08%
France,database tester,female,4,0.08%
France,databases computer consultant,female,4,0.08%
France,data operations director,male,4,0.08%
France,data miner,female,4,0.08%
France,electronic data interchange system developer edi system developer,female,4,0.08%
France,data management information technology specialist,male,4,0.08%
France,data management associate,female,4,0.08%
France,data processing auditor,male,4,0.08%
France,database design analyst,female,4,0.08%
France,database coordinator,female,4,0.08%
France,data systems manager,male,4,0.08%
France,data warehouse architect,female,4,0.08%
France,data security analyst,male,4,0.08%
France,databases software consultant,male,3,0.06%
France,data modeling specialist,female,3,0.06%
France,data entry representative,male,3,0.06%
France,data entry clerk,male,3,0.06%
France,data communications technician,male,3,0.06%
France,data communications software consultant,female,3,0.06%
France,data collection technician,female,3,0.06%
France,data processing auditor,female,3,0.06%
France,data processing systems analyst,female,3,0.06%
France,database development and administration project manager,female,3,0.06%
France,databases computer consultant,male,3,0.06%
France,database modeler,female,3,0.06%
France,database manager,male,3,0.06%
France,database management system specialist dbms specialist,male,3,0.06%
France,data security analyst,female,3,0.06%
France,data scientist,male,3,0.06%
France,data base design analyst,female,3,0.06%
France,data administrator,male,3,0.06%
France,data administrator,female,3,0.06%
France,databases software consultant,female,3,0.06%
France,database security expert,female,3,0.06%
France,engineer system electronic data processing engineer system edp,female,3,0.06%
France,engineer system electronic data processing engineer system edp,male,3,0.06%
France,geographic information systems data administrator gis data administrator,female,3,0.06%
France,geographic information systems database administrator gis database administrator,male,3,0.06%
France,clinical data management manager cdm manager,female,2,0.04%
France,data processing systems project planner,female,2,0.04%
France,data processing manager,female,2,0.04%
France,data operations director,female,2,0.04%
France,data entry specialist,female,2,0.04%
France,data entry machine operator,female,2,0.04%
France,data communications analyst,female,2,0.04%
France,data coder operator,male,2,0.04%
France,clinical trials data coordinator,female,2,0.04%
France,clinical data management manager cdm manager,male,2,0.04%
France,clinical data coordinator,male,2,0.04%
France,clinical data associate,female,2,0.04%
France,clinical data analyst,male,2,0.04%
France,business database analyst,female,2,0.04%
France,automatic data processing systems security specialist adp systems security,female,2,0.04%
France,data recovery planner,female,2,0.04%
France,data systems manager,female,2,0.04%
France,database analyst,male,2,0.04%
France,database designer,female,2,0.04%
France,sql database administrator,male,2,0.04%
France,scada operator supervisory control and data acquisition operator,female,2,0.04%
France,medical data analyst,female,2,0.04%
France,maintenance data analyst,female,2,0.04%
France,log data technician,male,2,0.04%
France,log data technician,female,2,0.04%
France,field traffic data technician,male,2,0.04%
France,electronic data processing auditor edp auditor,female,2,0.04%
France,database specialist,female,2,0.04%
France,database programmer,female,2,0.04%
France,database engineer,female,2,0.04%
France,data capture specialist,male,1,0.02%
France,data entry representative,female,1,0.02%
France,data collector,female,1,0.02%
France,data entry clerk,female,1,0.02%
France,data control clerk supervisor,male,1,0.02%
France,data control assistant,male,1,0.02%
France,data input clerk,male,1,0.02%
France,data communications technician,female,1,0.02%
France,data entry supervisor,female,1,0.02%
France,data sciences director,male,1,0.02%
France,data management manager,male,1,0.02%
France,data manager,female,1,0.02%
France,data modeler,female,1,0.02%
France,data modeler,male,1,0.02%
France,clinical data management associate director,female,1,0.02%
France,clinical data management associate director,male,1,0.02%
France,clinical data manager,female,1,0.02%
France,clinical data manager,male,1,0.02%
France,clinical data specialist,male,1,0.02%
France,clinical trials data coordinator,male,1,0.02%
France,crime data specialist,female,1,0.02%
France,customer data technician,male,1,0.02%
France,business database analyst,male,1,0.02%
France,analytical data miner,female,1,0.02%
France,analytical data miner,male,1,0.02%
France,automatic data processing customer liaison adp customer liaison,female,1,0.02%
France,computer or data processing systems consultant,female,1,0.02%
France,data technician,female,1,0.02%
France,data specialist,male,1,0.02%
France,marketing database analyst,female,1,0.02%
France,micro computer data processor,male,1,0.02%
France,reference data expert,male,1,0.02%
France,gps field data collector global positioning system field data collector,female,1,0.02%
France,geographic information systems database administrator gis database administrator,female,1,0.02%
France,flight test data acquisition technician,female,1,0.02%
France,geographic information systems data manager gis data manager,female,1,0.02%
France,scada operator supervisory control and data acquisition operator,male,1,0.02%
France,scada technician supervisory control and data acquisition technician,female,1,0.02%
France,scada technician supervisory control and data acquisition technician,male,1,0.02%
France,scientific database curator,female,1,0.02%
France,scientific database curator,male,1,0.02%
France,sql database administrator,female,1,0.02%
France,survey data technician,female,1,0.02%
France,voice and data technician,male,1,0.02%
France,database developer,male,1,0.02%
France,database analyst,female,1,0.02%
France,data typist,male,1,0.02%
France,database administration manager,female,1,0.02%
France,database administration manager,male,1,0.02%
France,database administration project manager,male,1,0.02%
France,database development project manager,male,1,0.02%
France,database management system specialist dbms specialist,female,1,0.02%
France,database programmer,male,1,0.02%
France,database security administrator,female,1,0.02%
