Country,Job Title,Gender,Quantity,Percentage
Germany,Unemployed,female,378,3.92%
Germany,Unemployed,male,231,2.39%
Germany,oracle database administrator oracle dba,male,13,0.13%
Germany,data architect,male,12,0.12%
Germany,database engineer,male,11,0.11%
Germany,geographic information systems data specialist gis data specialist,male,11,0.11%
Germany,data storage specialist,male,10,0.1%
Germany,data officer,female,10,0.1%
Germany,data processing systems project planner,male,9,0.09%
Germany,database manager,male,9,0.09%
Germany,database specialist,male,9,0.09%
Germany,data warehouse developer,male,9,0.09%
Germany,data administrator,male,9,0.09%
Germany,database development and administration project manager,male,9,0.09%
Germany,database modeler,male,9,0.09%
Germany,electronic data processing auditor edp auditor,male,8,0.08%
Germany,data warehouse specialist,male,8,0.08%
Germany,data miner,male,8,0.08%
Germany,data officer,male,8,0.08%
Germany,automatic data processing planner adp planner,male,8,0.08%
Germany,database management system specialist dbms specialist,female,8,0.08%
Germany,electronic data interchange system developer edi system developer,female,8,0.08%
Germany,database administration manager,male,8,0.08%
Germany,data communications software consultant,male,8,0.08%
Germany,data processing manager,male,8,0.08%
Germany,data warehouse architect,male,8,0.08%
Germany,data security administrator,male,7,0.07%
Germany,data security analyst,male,7,0.07%
Germany,head of information systems and data processing,male,7,0.07%
Germany,database marketing analyst,male,7,0.07%
Germany,data modeling specialist,male,7,0.07%
Germany,internet database specialist,male,7,0.07%
Germany,database software technician,male,7,0.07%
Germany,database management system specialist dbms specialist,male,7,0.07%
Germany,data communications analyst,female,7,0.07%
Germany,automatic data processing planner,male,7,0.07%
Germany,database consultant,female,7,0.07%
Germany,computer or data processing systems consultant,male,7,0.07%
Germany,data coordinator,male,7,0.07%
Germany,database coordinator,male,7,0.07%
Germany,data scientist,male,6,0.06%
Germany,data warehouse analyst,male,6,0.06%
Germany,data communications analyst,male,6,0.06%
Germany,data processing consultant,male,6,0.06%
Germany,database security expert,male,6,0.06%
Germany,data storage specialist,female,6,0.06%
Germany,database tester,male,6,0.06%
Germany,engineer system electronic data processing engineer system edp,female,6,0.06%
Germany,geographic information systems data manager gis data manager,male,6,0.06%
Germany,geographic information systems database administrator gis database administrator,male,6,0.06%
Germany,data systems manager,male,6,0.06%
Germany,data warehouse developer,female,6,0.06%
Germany,data base design analyst,male,6,0.06%
Germany,databases computer consultant,male,6,0.06%
Germany,data management information technology specialist,male,6,0.06%
Germany,data warehousing engineer,male,6,0.06%
Germany,data warehousing specialist,male,6,0.06%
Germany,database consultant,male,6,0.06%
Germany,database administration manager,female,6,0.06%
Germany,automatic data processing systems security specialist adp systems security,male,5,0.05%
Germany,data modeling specialist,female,5,0.05%
Germany,computer or data processing systems consultant,female,5,0.05%
Germany,data management associate,male,5,0.05%
Germany,data security administrator,female,5,0.05%
Germany,data management information technology specialist,female,5,0.05%
Germany,automatic data processing planner adp planner,female,5,0.05%
Germany,database administration associate,male,5,0.05%
Germany,database architect,male,5,0.05%
Germany,data warehousing specialist,female,5,0.05%
Germany,head of information systems and data processing,female,5,0.05%
Germany,geographic information systems database administrator gis database administrator,female,5,0.05%
Germany,geographic information systems data administrator gis data administrator,male,5,0.05%
Germany,geographic information systems data administrator gis data administrator,female,5,0.05%
Germany,engineer system electronic data processing engineer system edp,male,5,0.05%
Germany,electronic data interchange system developer edi system developer,male,5,0.05%
Germany,director of data operations,female,5,0.05%
Germany,databases software consultant,male,5,0.05%
Germany,oracle database administrator oracle dba,female,5,0.05%
Germany,automatic data processing customer liaison adp customer liaison,male,4,0.04%
Germany,automatic data processing systems security specialist adp systems security,female,4,0.04%
Germany,database administration associate,female,4,0.04%
Germany,data processing systems analyst,male,4,0.04%
Germany,data processing systems analyst,female,4,0.04%
Germany,data warehousing manager,male,4,0.04%
Germany,database architect,female,4,0.04%
Germany,data warehouse specialist,female,4,0.04%
Germany,data warehouse architect,female,4,0.04%
Germany,data warehousing manager,female,4,0.04%
Germany,data systems manager,female,4,0.04%
Germany,data processing consultant,female,4,0.04%
Germany,geographic information systems data specialist gis data specialist,female,4,0.04%
Germany,data administrator,female,4,0.04%
Germany,internet database specialist,female,4,0.04%
Germany,data coordinator,female,4,0.04%
Germany,geographic information systems data manager gis data manager,female,4,0.04%
Germany,sql database administrator,male,4,0.04%
Germany,database software technician,female,4,0.04%
Germany,data base design analyst,female,4,0.04%
Germany,database security administrator,male,3,0.03%
Germany,voice and data technician,male,3,0.03%
Germany,database analyst,male,3,0.03%
Germany,datastage developer,male,3,0.03%
Germany,gps field data collector global positioning system field data collector,male,3,0.03%
Germany,database administration project manager,male,3,0.03%
Germany,database analyst,female,3,0.03%
Germany,database development and administration project manager,female,3,0.03%
Germany,database designer,male,3,0.03%
Germany,data processing manager,female,3,0.03%
Germany,data processing services sales representative,male,3,0.03%
Germany,automatic data processing customer liaison adp customer liaison,female,3,0.03%
Germany,data center operator,male,3,0.03%
Germany,data operations director,male,3,0.03%
Germany,data processing auditor,female,3,0.03%
Germany,clinical data coordinator,male,3,0.03%
Germany,data warehouse analyst,female,3,0.03%
Germany,clinical data management associate director,male,3,0.03%
Germany,data processor,male,2,0.02%
Germany,data reduction technician,male,2,0.02%
Germany,data scientist,female,2,0.02%
Germany,data security analyst,female,2,0.02%
Germany,data compiler,male,2,0.02%
Germany,data conversion operator,male,2,0.02%
Germany,data entry supervisor,male,2,0.02%
Germany,data entry technician,female,2,0.02%
Germany,data processing auditor,male,2,0.02%
Germany,data processing auxiliary equipment operator,male,2,0.02%
Germany,database security administrator,female,2,0.02%
Germany,database design analyst,male,2,0.02%
Germany,database designer,female,2,0.02%
Germany,database engineer,female,2,0.02%
Germany,database manager,female,2,0.02%
Germany,scada operator supervisory control and data acquisition operator,female,2,0.02%
Germany,database modeler,female,2,0.02%
Germany,naval tactical data systemcombat information center watch officer carrier controlled approach controller,male,2,0.02%
Germany,medical data analyst,female,2,0.02%
Germany,data transcriber,male,2,0.02%
Germany,marketing database analyst,male,2,0.02%
Germany,log data technician,male,2,0.02%
Germany,database specialist,female,2,0.02%
Germany,flight test data acquisition technician,male,2,0.02%
Germany,flight data technician,male,2,0.02%
Germany,flight data technician,female,2,0.02%
Germany,field traffic data technician,male,2,0.02%
Germany,director of data operations,male,2,0.02%
Germany,database design analyst,female,2,0.02%
Germany,database coordinator,female,2,0.02%
Germany,database administrator dba,female,2,0.02%
Germany,database administrator dba,male,2,0.02%
Germany,data communications software consultant,female,2,0.02%
Germany,data collection technician,female,2,0.02%
Germany,automatic data processing planner,female,2,0.02%
Germany,clinical data abstractor,female,2,0.02%
Germany,clinical data abstractor,male,2,0.02%
Germany,clinical data analyst,female,2,0.02%
Germany,customer data technician,male,2,0.02%
Germany,data center operator,female,2,0.02%
Germany,databases computer consultant,female,2,0.02%
Germany,data processing services sales representative,female,1,0.01%
Germany,data sciences director,female,1,0.01%
Germany,data entry machine operator,female,1,0.01%
Germany,data processing control clerk,female,1,0.01%
Germany,data entry representative,female,1,0.01%
Germany,data entry representative,male,1,0.01%
Germany,data processing equipment repairer,male,1,0.01%
Germany,data sciences director,male,1,0.01%
Germany,data entry technician,male,1,0.01%
Germany,data keyer,male,1,0.01%
Germany,data processing clerk,male,1,0.01%
Germany,data processing supervisor,male,1,0.01%
Germany,data management manager,female,1,0.01%
Germany,data manager,female,1,0.01%
Germany,data modeler,male,1,0.01%
Germany,data recovery planner,female,1,0.01%
Germany,data keyer,female,1,0.01%
Germany,data processing systems project planner,female,1,0.01%
Germany,data input clerk,female,1,0.01%
Germany,data input clerk,male,1,0.01%
Germany,data processor,female,1,0.01%
Germany,data typist,female,1,0.01%
Germany,database developer,male,1,0.01%
Germany,database development project manager,male,1,0.01%
Germany,database developer,female,1,0.01%
Germany,database marketing analyst,female,1,0.01%
Germany,database tester,female,1,0.01%
Germany,database security expert,female,1,0.01%
Germany,database programmer,male,1,0.01%
Germany,data specialist,female,1,0.01%
Germany,data specialist,male,1,0.01%
Germany,data warehousing engineer,female,1,0.01%
Germany,data typist,male,1,0.01%
Germany,data conversion operator,female,1,0.01%
Germany,data transcriber,female,1,0.01%
Germany,data technician,female,1,0.01%
Germany,data control clerk supervisor,male,1,0.01%
Germany,data abstractor,male,1,0.01%
Germany,data architect,female,1,0.01%
Germany,data center manager,female,1,0.01%
Germany,data center manager,male,1,0.01%
Germany,data coder operator,male,1,0.01%
Germany,data collection technician,male,1,0.01%
Germany,data abstractor,female,1,0.01%
Germany,crime data specialist,female,1,0.01%
Germany,business database analyst,female,1,0.01%
Germany,clinical data associate,male,1,0.01%
Germany,clinical data management manager cdm manager,female,1,0.01%
Germany,clinical data manager,male,1,0.01%
Germany,clinical trials data coordinator,male,1,0.01%
Germany,databases software consultant,female,1,0.01%
Germany,electronic data processing auditor edp auditor,female,1,0.01%
Germany,naval tactical data systemcombat information center watch officer general,female,1,0.01%
Germany,field artillery automated tactical data system specialist,male,1,0.01%
Germany,gps field data collector global positioning system field data collector,female,1,0.01%
Germany,health data analyst,male,1,0.01%
Germany,lidar data analyst,male,1,0.01%
Germany,log data technician,female,1,0.01%
Germany,maintenance data analyst,female,1,0.01%
Germany,marketing database analyst,female,1,0.01%
Germany,micro computer data processor,female,1,0.01%
Germany,micro computer data processor,male,1,0.01%
Germany,naval tactical data systemcombat information center officer,male,1,0.01%
Germany,naval tactical data systemcombat information center watch officer carrier controlled approach controller,female,1,0.01%
Germany,naval tactical data systemcombat information center watch officer general,male,1,0.01%
Germany,scada operator supervisory control and data acquisition operator,male,1,0.01%
Germany,scada technician supervisory control and data acquisition technician,male,1,0.01%
Germany,sql database administrator,female,1,0.01%
Germany,survey data technician,male,1,0.01%
Germany,voice and data technician,female,1,0.01%
