,Country,Job Title,Gender,Quantity,Percentage
0,Germany,Unemployed,female,411,4.26%
1,Great Britain,Unemployed,female,373,3.87%
2,France,Unemployed,female,363,3.76%
3,Germany,Unemployed,male,295,3.06%
4,Spain,Unemployed,female,274,2.84%
5,Italy,Unemployed,female,271,2.81%
6,Italy,Unemployed,male,257,2.66%
7,Great Britain,Unemployed,male,238,2.47%
8,France,Unemployed,male,237,2.46%
9,Poland,Unemployed,female,202,2.09%
10,Spain,Unemployed,male,199,2.06%
11,Poland,Unemployed,male,188,1.95%
12,Netherlands,Unemployed,female,120,1.24%
13,Netherlands,Unemployed,male,62,0.64%
14,Romania,Unemployed,female,61,0.63%
15,Greece,Unemployed,female,58,0.6%
16,Belgium,Unemployed,female,50,0.52%
17,Greece,Unemployed,male,49,0.51%
18,Sweden,Unemployed,female,49,0.51%
19,Romania,Unemployed,male,49,0.51%
20,Hungary,Unemployed,female,48,0.5%
21,Hungary,Unemployed,male,44,0.46%
22,Czechia,Unemployed,female,41,0.42%
23,Sweden,Unemployed,male,40,0.41%
24,Portugal,Unemployed,female,38,0.39%
25,Austria,Unemployed,male,35,0.36%
26,Belgium,Unemployed,male,34,0.35%
27,Denmark,Unemployed,female,34,0.35%
28,Austria,Unemployed,female,34,0.35%
29,Czechia,Unemployed,male,31,0.32%
30,Bulgaria,Unemployed,female,31,0.32%
31,Finland,Unemployed,female,30,0.31%
32,Portugal,Unemployed,male,29,0.3%
33,Bulgaria,Unemployed,male,28,0.29%
34,Ireland,Unemployed,female,24,0.25%
35,Croatia,Unemployed,female,23,0.24%
36,Ireland,Unemployed,male,22,0.23%
37,Denmark,Unemployed,male,21,0.22%
38,Croatia,Unemployed,male,20,0.21%
39,Finland,Unemployed,male,19,0.2%
40,Slovakia,Unemployed,male,19,0.2%
41,Slovakia,Unemployed,female,17,0.18%
42,France,computer or data processing systems consultant,male,13,0.13%
43,Germany,oracle database administrator oracle dba,male,13,0.13%
44,Lithuania,Unemployed,male,13,0.13%
45,Germany,data architect,male,12,0.12%
46,France,database coordinator,male,11,0.11%
47,Italy,database administration manager,male,11,0.11%
48,France,data modeling specialist,male,11,0.11%
49,Germany,database engineer,male,11,0.11%
50,France,director of data operations,male,11,0.11%
51,Italy,data miner,male,11,0.11%
52,Germany,geographic information systems data specialist gis data specialist,male,11,0.11%
53,Italy,data warehouse architect,male,10,0.1%
54,Germany,data officer,female,10,0.1%
55,France,database modeler,male,10,0.1%
56,Great Britain,automatic data processing systems security specialist adp systems security,male,10,0.1%
57,Poland,geographic information systems database administrator gis database administrator,female,10,0.1%
58,France,data management associate,male,10,0.1%
59,France,automatic data processing customer liaison adp customer liaison,male,10,0.1%
60,Germany,data processing systems project planner,male,9,0.09%
61,Poland,automatic data processing customer liaison adp customer liaison,male,9,0.09%
62,France,automatic data processing systems security specialist adp systems security,male,9,0.09%
